Ref number	reference	citations	survey	pipeline	type	comment
12	"Alekh Agarwal, Miroslav Dudík, and Zhiwei Steven Wu. 2019. Fair regression: Quantitative definitions and reduction-based algorithms. In Proceedings of the International Conference on Machine Learning. PMLR, 120–129."	309	hort	in-processing	constraints	
13	"Sushant Agarwal and Amit Deshpande. 2022. On the power of randomization in fair classification and representation. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency (FAccT’22). Association for Computing Machinery, New York, NY, 15421551. DOI:"	9	hort	in-processing	adjusted	
14	"Sina Aghaei, Mohammad Javad Azizi, and Phebe Vayanos. 2019. Learning optimal and fair decision trees for non-discriminative decision-making. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 33. 1418–1426."	219	hort	in-processing	regularisation	
15	Ibrahim Alabdulmohsin. 2020. Fair classification via unconstrained optimization. arXiv preprint arXiv:2005.14621 (2020).	5	hort	post-processing	output	group_dependent
16	"Ibrahim Alabdulmohsin, Jessica Schrouff, and Oluwasanmi Koyejo. 2022. A reduction to binary approach for debiasing multiclass datasets. arXiv preprint arXiv:2205.15860 (2022)."	13	hort	pre-processing	relabelling	
17	"Ibrahim M. Alabdulmohsin and Mario Lucic. 2021. A near-optimal algorithm for debiasing trained machine learning models. Adv. Neural Inf. Process. Syst. 34 (2021), 8072–8084."	28	hort	post-processing	output	
18	"Daniel Alabi, Nicole Immorlica, and Adam Kalai. 2018. Unleashing linear optimizers for group-fair learning and optimization. In Proceedings of the Conference on Learning Theory. PMLR, 2043–2066."	34	hort	in-processing	adjusted	
19	"Wael Alghamdi, Hsiang Hsu, Haewon Jeong, Hao Wang, P. Winston Michalak, Shahab Asoodeh, and Flavio P. Calmon. 2022. Beyond adult and COMPAS: Fairness in multi-class prediction. arXiv preprint arXiv:2206.07801 (2022)."	15	hort	post-processing	output	
20	"Abdulaziz A. Almuzaini, Chidansh A. Bhatt, David M. Pennock, and Vivek K. Singh. 2022. ABCinML: Anticipatory bias correction in machine learning applications. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency (FAccT’22). Association for Computing Machinery, New York, NY, 15521560. DOI:"	13	hort	pre-processing	sampling	reweighing
21	"Jack J. Amend and Scott Spurlock. 2021. Improving machine learning fairness with sampling and adversarial learning. J. Comput. Sci. Colleg. 36, 5 (2021), 14–23."	10	hort	in-processing	adversarial	upsampling
22	"Hadis Anahideh, Abolfazl Asudeh, and Saravanan Thirumuruganathan. 2022. Fair active learning. Expert Syst. Applic. 199 (2022), 116981. DOI"	77	hort	in-processing	adjusted	active_learning
23	"Christopher Anders, Plamen Pasliev, Ann-Kathrin Dombrowski, Klaus-Robert Müller, and Pan Kessel. 2020. Fairwashing explanations with off-manifold detergent. In Proceedings of the International Conference on Machine Learning. PMLR, 314–323"	102	hort			
24	"Julia Angwin, Jeff Larson, Surya Mattu, and Lauren Kirchner. 2016. Machine bias. ProPublica. Retrieved from https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing"	3991	hort			
25	Online Appendix. 2022. Online Appendix: Survey Results. Retrieved from https://solar.cs.ucl.ac.uk/os/softwarefairness.html	X	hort			
26	"Peter Auer, Nicolo Cesa-Bianchi, and Paul Fischer. 2002. Finite-time analysis of the multiarmed bandit problem. Mach. Learn. 47, 2 (2002), 235–256"	8492	hort	in-processing	adjusted	bandits
27	"Pranjal Awasthi, Matthäus Kleindessner, and Jamie Morgenstern. 2020. Equalized odds postprocessing under imperfect group information. In Proceedings of the International Conference on Artificial Intelligence and Statistics. PMLR, 1770–1780."	100	hort	post-processing	classifier	equal_odds
28	"Sina Baharlouei, Maher Nouiehed, Ahmad Beirami, and Meisam Razaviyayn. 2020. Rényi fair inference. In Proceedings of the 8th International Conference on Learning Representations."	97	hort	in-processing	regularisation	
29	"Ananth Balashankar, Alyssa Lees, Chris Welty, and Lakshminarayanan Subramanian. 2019. What is fair? Exploring Pareto-efficiency for fairness constrained classifiers. arXiv preprint arXiv:1910.14120 (2019)."	26	hort	in-processing	constraints	
30	"Mislav Balunović, Anian Ruoss, and Martin Vechev. 2022. Fair normalizing flows. In Proceedings of the International Conference on Learning Representations. Retrieved from https://openreview.net/forum?id=BrFIKuxrZE"	39	hort	pre-processing	representation	normalising
31	"Niels Bantilan. 2018. Themis-ML: A fairness-aware machine learning interface for end-to-end discrimination discovery and mitigation. J. Technol. Hum. Servic. 36, 1 (2018), 15–30."	99	hort			
32	"Michelle Bao, Angela Zhou, Samantha Zottola, Brian Brubach, Sarah Desmarais, Aaron Horowitz, Kristian Lum, and Suresh Venkatasubramanian. 2021. It’s compaslicated: The messy relationship between RAI datasets and algorithmic fairness benchmarks. arXiv preprint arXiv:2106.05498 (2021)."	115	hort			
33	"Luciano Baresi, Chiara Criscuolo, and Carlo Ghezzi. 2023. Understanding fairness requirements for ML-based software. In 2023 IEEE 31st International Requirements Engineering Conference (RE). IEEE, 341–346."	7	hort			
34	"Solon Barocas and Andrew D. Selbst. 2016. Big data’s disparate impact. Calif. L. Rev. 104 (2016), 671."	4918	hort			
35	Yahav Bechavod and Katrina Ligett. 2017. Penalizing unfairness in binary classification. arXiv preprint arXiv:1707.00044 (2017).	137	hort	in-processing	regularisation	
36	"Rachel K. E. Bellamy, Kuntal Dey, Michael Hind, Samuel C. Hoffman, Stephanie Houde, Kalapriya Kannan, Pranay Lohia, Jacquelyn Martino, Sameep Mehta, Aleksandra Mojsilovic, Seema Nagar, Karthikeyan Natesan Ramamurthy, John Richards, Diptikalyan Saha, Prasanna Sattigeri, Moninder Singh, Kush R. Varshney, and Yunfeng Zhang. 2018. AI Fairness 360: An extensible toolkit for detecting, understanding, and mitigating unwanted algorithmic bias. arXivpreprint arXiv:1810.01943 (2018)."	1612	hort			
37	"Richard Berk, Hoda Heidari, Shahin Jabbari, Matthew Joseph, Michael Kearns, Jamie Morgenstern, Seth Neel, and Aaron Roth. 2017. A convex framework for fair regression. arXiv preprint arXiv:1706.02409 (2017)"	393	hort	in-processing	regularisation	
38	"Richard Berk, Hoda Heidari, Shahin Jabbari, Michael Kearns, and Aaron Roth. 2018. Fairness in criminal justice risk assessments: The state of the art. Sociological Methods & Research 1 (2018), 42."	1192	hort			
39	"Alex Beutel, Jilin Chen, Tulsee Doshi, Hai Qian, Allison Woodruff, Christine Luu, Pierre Kreitmann, Jonathan Bischof, and Ed H. Chi. 2019. Putting fairness principles into practice: Challenges, metrics, and improvements. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 453–459"	163	hort	in-processing	adversarial	nn
40	"Alex Beutel, Jilin Chen, Zhe Zhao, and Ed H. Chi. 2017. Data decisions and theoretical implications when adversarially learning fair representations. arXiv preprint arXiv:1707.00075 (2017)."	513	hort	in-processing	adversarial	nn
41	"Peter J. Bickel, Eugene A. Hammel, and J. William O’Connell. 1975. Sex bias in graduate admissions: Data from Berkeley. Science 187, 4175 (1975), 398–404."	882	hort			
42	"Sarah Bird, Miro Dudík, Richard Edgar, Brandon Horn, Roman Lutz, Vanessa Milan, Mehrnoosh Sameki, Hanna Wallach, and Kathleen Walker. 2020. FairLearn: A Toolkit for Assessing and Improving Fairness in AI. Technical Report MSR-TR-2020-32. Microsoft."	439	hort			
43	"William Blanzeisky and Pádraig Cunningham. 2022. Using Pareto simulated annealing to address algorithmic bias in machine learning. Knowl. Eng. Rev. 37 (2022), e5. DOI:"	8	hort	in-processing	compositionnal	pareto
44	"Su Lin Blodgett, Solon Barocas, Hal Daumé III, and Hanna Wallach. 2020. Language (technology) is power: A critical survey of “bias” in NLP. arXiv preprint arXiv:2005.14050 (2020)."	1238	hort			
45	"Ruth G. Blumrosen. 1978. Wage discrimination, job segregation, and the Title VII of the Civil Rights Act of 1964. U. Mich. JL Reform. 12 (1978), 397."	375	hort			
46	Stelios Boulitsakis-Logothetis. 2022. Fairness-aware naive Bayes classifier for data with multiple sensitive features. arXiv preprint arXiv:2202.11499 (2022).	7	hort	in-processing	compositionnal	different_clf
47	"Toon Calders, Faisal Kamiran, and Mykola Pechenizkiy. 2009. Building classifiers with independency constraints. In Proceedings of the IEEE International Conference on Data Mining Workshops. IEEE, 13–18."	694	hort	pre-processing	sampling	reweighing
48	"Toon Calders, Asim Karim, Faisal Kamiran, Wasif Ali, and Xiangliang Zhang. 2013. Controlling attribute effect in linear regression. In Proceedings of the IEEE 13th International Conference on Data Mining. IEEE, 71–80"	186	hort	in-processing	constraints	
49	"Toon Calders and Sicco Verwer. 2010. Three naive Bayes approaches for discrimination-free classification. Data Min. Knowl. Discov. 21, 2 (2010), 277–292."	1062	hort	post-processing	classifier	naive_bayes
50	"Flavio Calmon, Dennis Wei, Bhanukiran Vinzamuri, Karthikeyan Natesan Ramamurthy, and Kush R. Varshney. 2017. Optimized pre-processing for discrimination prevention. In Proceedings of the International Conference on Advances in Neural Information Processing Systems. 3992–4001."	1011	hort	pre-processing	representation	optimisation
51	"Antonio Candelieri, Andrea Ponti, and Francesco Archetti. 2022. Fair and green hyperparameter optimization via multi-objective and multiple information source Bayesian optimization. arXiv preprint arXiv:2205.08835 (2022)"	15	hort	in-processing	adjusted	
52	Simon Caton and Christian Haas. 2020. Fairness in machine learning: A survey. arXiv preprint arXiv:2010.04053 (2020)	687	hort			
53	"L. Elisa Celis, Lingxiao Huang, Vijay Keswani, and Nisheeth K. Vishnoi. 2019. Classification with fairness constraints: A meta-algorithm with provable guarantees. In Proceedings of the Conference on Fairness, Accountability, and Transparency. 319–328."	362	hort	in-processing	constraints	meta
54	"L. Elisa Celis, Lingxiao Huang, Vijay Keswani, and Nisheeth K. Vishnoi. 2021. Fair classification with noisy protected attributes: A framework with provable guarantees. In Proceedings of the International Conference on Machine Learning. PMLR, 1349–1361."	62	hort	in-processing	constraints	
55	L. Elisa Celis and Vijay Keswani. 2019. Improved adversarial learning for fair classification. arXiv preprint arXiv:1901.10443 (2019).	58	hort	in-processing	adversarial	
56	"L. Elisa Celis, Vijay Keswani, and Nisheeth Vishnoi. 2020. Data preprocessing to mitigate bias: A maximum entropy based approach. In Proceedings of the International Conference on Machine Learning. PMLR, 1349–1359"	68	hort	pre-processing	sampling	reweighing
57	"L. Elisa Celis, Anay Mehrotra, and Nisheeth Vishnoi. 2021. Fair classification with adversarial perturbations. Adv. Neural Inf. Process. Syst. 34 (2021), 8158–8171."	46	hort	in-processing	constraints	
58	"Mattia Cerrato, Alesia Vallenas Coronel, Marius Köppel, Alexander Segner, Roberto Esposito, and Stefan Kramer. 2022. Fair interpretable representation learning with correction vectors. arXiv preprint arXiv:2202.03078 (2022)."	7	hort	pre-processing	representation	normalising
59	"Junyi Chai and Xiaoqian Wang. 2022. Fairness with adaptive weights. In Proceedings of the International Conference on Machine Learning. PMLR, 2853–2866"	42	hort	pre-processing	sampling	reweighing
60	"Joymallya Chakraborty, Suvodeep Majumder, and Tim Menzies. 2021. Bias in machine learning software: Why? How? What to do? In Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE’21). Association for Computing Machinery, New York, NY, 429440. DOI"	215	hort	pre-processing	sampling	smote_like
61	"Joymallya Chakraborty, Suvodeep Majumder, and Huy Tu. 2022. Fair-SSL: Building fair ML software with less data. In Proceedings of the International Workshop on Equitable Data and Technology (FairWare’22)."	11	hort	pre-processing	latent	latent_groupmembership
62	"Joymallya Chakraborty, Suvodeep Majumder, Zhe Yu, and Tim Menzies. 2020. Fairway: A Way to Build Fair ML Software. Association for Computing Machinery, New York, NY, 654665. DOI:"	137	hort	in-processing	adjusted	hyperparameters_tuning
63	"Joymallya Chakraborty, Tianpei Xia, Fahmid M. Fahid, and Tim Menzies. 2019. Software engineering for fairness: A case study with hyperparameter optimization. arXiv preprint arXiv:1905.05786 (2019)."	47	hort	in-processing	adjusted	hyperparameters_tuning
64	"Nitesh V. Chawla, Kevin W. Bowyer, Lawrence O. Hall, and W. Philip Kegelmeyer. 2002. SMOTE: Synthetic minority over-sampling technique. J. Artif. Intell. Res. 16 (2002), 321–357"	32276	hort	pre-processing	sampling	smote_like
65	"Canyu Chen, Yueqing Liang, Xiongxiao Xu, Shangyu Xie, Yuan Hong, and Kai Shu. 2022. On fair classification with mostly private sensitive attributes. arXiv preprint arXiv:2207.08336 (2022)."	8	hort	in-processing	adversarial	latent_groupmembership
66	"Irene Chen, Fredrik D. Johansson, and David Sontag. 2018. Why is my classifier discriminatory? Adv. Neural Inf. Process. Syst. 31 (2018)."	527	hort	pre-processing	sampling	
67	"Jiahao Chen, Nathan Kallus, Xiaojie Mao, Geoffry Svacha, and Madeleine Udell. 2019. Fairness under unawareness: Assessing disparity when protected class is unobserved. In Proceedings of the Conference on Fairness, Accountability, and Transparency. 339–348."	356	hort			
68	"Zhenpeng Chen, Jie M. Zhang, Max Hort, Federica Sarro, and Mark Harman. 2022. Fairness testing: A comprehensive survey and analysis of trends. arXiv e-prints (2022), arXiv–2207."	55	hort			
69	"Zhenpeng Chen, Jie M. Zhang, Federica Sarro, and Mark Harman. 2022. MAAT: A novel ensemble approach to addressing fairness and performance bugs for machine learning software. In Proceedings of the ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE’22)."	61	hort	in-processing	compositionnal	ensemble
70	"Zhenpeng Chen, Jie M. Zhang, Federica Sarro, and Mark Harman. 2023. A comprehensive empirical study of bias mitigation methods for machine learning classifiers. ACM Trans. Softw. Eng. Methodol. 32, 4 (2023), 106:1–106:30."	71	hort			
71	"Zhenpeng Chen, Jie M. Zhang, Federica Sarro, and Mark Harman. 2024. Fairness improvement with multiple protected attributes: How far are we? In Proceedings of the 46th ACM/IEEE International Conference on Software Engineering (ICSE’24)."	15	hort			
72	"Silvia Chiappa. 2019. Path-specific counterfactual fairness. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 33. 7801–7808."	384	hort	post-processing	output	counterfactual
73	"Silvia Chiappa and William S. Isaac. 2018. A causal Bayesian networks viewpoint on fairness. In Proceedings of the IFIP International Summer School on Privacy and Identity Management. Springer, 3–20."	98	hort	in-processing	adjusted	
74	"Jaewoong Cho, Gyeongjo Hwang, and Changho Suh. 2020. A fair classifier using kernel density estimation. Adv. Neural Inf. Process. Syst. 33 (2020), 15088–15099."	76	hort	in-processing	constraints	
75	"YooJung Choi, Meihua Dang, and Guy Van den Broeck. 2021. Group fairness by probabilistic modeling with latent fair decisions. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 35. 12051–12059."	40	hort	in-processing	constraints	
76	Alexandra Chouldechova and Aaron Roth. 2018. The frontiers of fairness in machine learning. arXiv preprint arXiv:1810.08810 (2018)	412	hort			
77	Ching-Yao Chuang and Youssef Mroueh. 2021. Fair mixup: Fairness via interpolation. In Proceedings of the International Conference on Learning Representations. Retrieved from https://openreview.net/forum?id=DNl5s5BXeBn	149	hort	in-processing	regularisation	
78	"Evgenii Chzhen, Christophe Denis, Mohamed Hebiri, Luca Oneto, and Massimiliano Pontil. 2019. Leveraging labeled and unlabeled data for consistent fair binary classification. Adv. Neural Inf. Process. Syst. 32 (2019)."	111	hort	post-processing	output	group_dependent
79	"Evgenii Chzhen, Christophe Denis, Mohamed Hebiri, Luca Oneto, and Massimiliano Pontil. 2020. Fair regression via plug-in estimator and recalibration with statistical guarantees. Adv. Neural Inf. Process. Syst. 33 (2020), 19137–19148."	53	hort	post-processing	classifier	
80	"Evgenii Chzhen, Christophe Denis, Mohamed Hebiri, Luca Oneto, and Massimiliano Pontil. 2020. Fair regression with Wasserstein barycenters. Adv. Neural Inf. Process. Syst. 33 (2020), 7321–7331."	122	hort	post-processing	classifier	regression
81	Evgenii Chzhen and Nicolas Schreuder. 2020. A minimax framework for quantifying risk-fairness trade-off in regression. arXiv preprint arXiv:2007.14265 (2020).	37	hort	post-processing	classifier	
82	"Sam Corbett-Davies, Emma Pierson, Avi Feller, Sharad Goel, and Aziz Huq. 2017. Algorithmic decision making and the cost of fairness. In Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. 797–806."	1558	hort	in-processing	constraints	
83	"Paulo Cortez, António Cerdeira, Fernando Almeida, Telmo Matos, and José Reis. 2009. Modeling wine preferences by data mining from physicochemical properties. Decis. Supp. Syst. 47, 4 (2009), 547–553."	1751	hort			
84	"Paulo Cortez and Alice Maria Gonçalves Silva. 2008. Using data mining to predict secondary school studentperformance. In Proceedings of 5th Annual Future Business Technology Conference. Porto, 5–12."	986	hort			
85	"Andrew Cotter, Maya Gupta, Heinrich Jiang, Nathan Srebro, Karthik Sridharan, Serena Wang, Blake Woodworth, and Seungil You. 2019. Training well-generalizing classifiers for fairness metrics and other data-dependent constraints. In Proceedings of the International Conference on Machine Learning. PMLR, 1397–1405."	120	hort	in-processing	constraints	
86	"Andrew Cotter, Heinrich Jiang, Maya R. Gupta, Serena Wang, Taman Narayan, Seungil You, and Karthik Sridharan. 2019. Optimization with non-differentiable constraints with applications to fairness, recall, churn, and other goals. J. Mach. Learn. Res. 20, 172 (2019), 1–59."	175	hort	in-processing	constraints	
87	"Andrew Cotter, Heinrich Jiang, and Karthik Sridharan. 2019. Two-player games for efficient non-convex constrained optimization. In Algorithmic Learning Theory. PMLR, 300–332."	140	hort	in-processing	constraints	
88	"Elliot Creager, David Madras, Jörn-Henrik Jacobsen, Marissa Weis, Kevin Swersky, Toniann Pitassi, and Richard Zemel. 2019. Flexibly fair representation learning by disentanglement. In Proceedings of the International Conference on Machine Learning. PMLR, 1436–1445."	400	hort	pre-processing	representation	vaes
89	"André F. Cruz, Pedro Saleiro, Catarina Belém, Carlos Soares, and Pedro Bizarro. 2021. Promoting fairness through hyperparameter optimization. In Proceedings of the IEEE International Conference on Data Mining (ICDM’21). 1036–1041. DOI:"	28	hort	in-processing	adjusted	hyperparameters_tuning
90	"André Miguel Ferreira da Cruz. 2020. Fairness-aware hyperparameter optimization: An application to fraud detection. Retrieved on June 12, 2022 https://repositorio-aberto.up.pt/bitstream/10216/128959/2/414778.pdf."	4	hort	in-processing	adjusted	hyperparameters_tuning
91	"Damien Dablain, Bartosz Krawczyk, and Nitesh Chawla. 2022. Towards A holistic view of bias in machine learning: Bridging algorithmic fairness and imbalanced learning. arXiv preprint arXiv:2207.06084 (2022)."	15	hort	pre-processing	sampling	smote_like
92	"Nilesh Dalvi, Pedro Domingos, Sumit Sanghai, and Deepak Verma. 2004. Adversarial classification. In Proceedings of the 10th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. 99–108."	1340	hort			
93	Jeffrey Dastin. 2018. Amazon Scraps Secret AI Recruiting Tool that Showed Bias against Women. Retrieved from https://www.reuters.com/article/us-amazon-com-jobs-automation-insight-idUSKCN1MK08G	2223	hort			
94	"Pieter Delobelle, Paul Temple, Gilles Perrouin, Benoît Frénay, Patrick Heymans, and Bettina Berendt. 2020. Ethical adversaries: Towards mitigating unfairness with adversarial machine learning. In Proceedings of the Conference on Bias and Fairness in AI (BIAS’20)."	51	hort	in-processing	adversarial	nn
95	"Zhun Deng, Jiayao Zhang, Linjun Zhang, Ting Ye, Yates Coley, Weijie J. Su, and James Zou. 2022. FIFA: Making fairness more generalizable in classifiers trained on imbalanced data. arXiv preprint arXiv:2206.02792 (2022)."	17	hort	in-processing	regularisation	
96	"Pietro G. Di Stefano, James M. Hickey, and Vlasios Vasileiou. 2020. Counterfactual fairness: Removing direct effects through regularization. arXiv preprint arXiv:2002.10774 (2020)."	23	hort	in-processing	regularisation	
97	"Emily Diana, Wesley Gill, Michael Kearns, Krishnaram Kenthapadi, Aaron Roth, and Saeed Sharifi-Malvajerdi. 2022. Multiaccurate proxies for downstream fairness. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency (FAccT’22). Association for Computing Machinery, New York, NY, 12071239. DOI:"	31	hort	pre-processing	latent	latent_groupmembership
98	"Christos Dimitrakakis, Yang Liu, David C. Parkes, and Goran Radanovic. 2019. Bayesian fairness. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 33. 509–516"	47	hort	in-processing	adjusted	bayesian
99	"Frances Ding, Moritz Hardt, John Miller, and Ludwig Schmidt. 2021. Retiring adult: New datasets for fair machine learning. Adv. Neural Inf. Process. Syst. 34 (2021), 6478–6490."	429	hort			
100	"Jiahao Ding, Xinyue Zhang, Xiaohuan Li, Junyi Wang, Rong Yu, and Miao Pan. 2020. Differentially private and fair classification via calibrated functional mechanism. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 34. 622–629."	54	hort	in-processing	constraints	
101	Yasmine Djebrouni. 2022. Towards bias mitigation in federated learning. In Proceedings of the 16th EuroSys Doctoral Workshop	5	hort	in-processing	adjusted	
102	"Hyungrok Do, Preston Putzel, Axel S. Martin, Padhraic Smyth, and Judy Zhong. 2022. Fair generalized linear models with a convex penalty. In Proceedings of the International Conference on Machine Learning. PMLR, 5286–5308"	16	hort	in-processing	regularisation	
103	"Michele Donini, Luca Oneto, Shai Ben-David, John Shawe-Taylor, and Massimiliano Pontil. 2018. Empirical risk minimization under fairness constraints. In Proceedings of the 32nd International Conference on Neural Information Processing Systems. 2796–2806."	525	hort	in-processing	constraints	
104	"Mengnan Du, Subhabrata Mukherjee, Guanchu Wang, Ruixiang Tang, Ahmed Awadallah, and Xia Hu. 2021. Fairness via representation neutralization. Adv. Neural Inf. Process. Syst. 34 (2021), 12091–12103."	85	hort	post-processing	classifier	nn
105	"Wei Du and Xintao Wu. 2021. Fair and robust classification under sample selection bias. In Proceedings of the 30th ACM International Conference on Information & Knowledge Management (CIKM’21). Association for Computing Machinery, New York, NY, 29993003. DOI:"	35	hort	in-processing	constraints	reweighing
106	"Flavio du Pin Calmon, Dennis Wei, Bhanukiran Vinzamuri, Karthikeyan Natesan Ramamurthy, and Kush R. Varshney. 2018. Data pre-processing for discrimination prevention: Information-theoretic optimization and analysis. IEEE J. Select. Topics Sig. Process. 12, 5 (2018), 1106–1119"	41	hort	pre-processing	representation	optimisation
107	Dheeru Dua and Casey Graff. 2017. UCI Machine Learning Repository. Retrieved from http://archive.ics.uci.edu/ml	7777	hort			
108	"Jannik Dunkelau and Michael Leuschel. 2019. Fairness-aware machine learning. Retrieved on June 12, 2022 https://stups.hhu-hosting.de/downloads/pdf/fairness-survey.pdf"	16	hort			
109	"Cynthia Dwork, Moritz Hardt, Toniann Pitassi, Omer Reingold, and Richard Zemel. 2012. Fairness through awareness. In Proceedings of the 3rd Innovations in Theoretical Computer Science Conference. 214–226"	4479	hort	in-processing	constraints	individual_fairness
110	"Cynthia Dwork, Nicole Immorlica, Adam Tauman Kalai, and Max Leiserson. 2018. Decoupled classifiers for group-fair and efficient machine learning. In Proceedings of the Conference on Fairness, Accountability and Transparency. PMLR, 119–133."	336	hort	in-processing	compositionnal	transfer
111	Harrison Edwards and Amos Storkey. 2015. Censoring representations with an adversary. arXiv preprint arXiv:1511.05897 (2015).	621	hort	pre-processing	representation	adversarial
112	"Michael Emmerich and André H. Deutz. 2018. A tutorial on multiobjective optimization: fundamentals and evolutionary methods. Nat. Comput. 17, 3 (2018), 585–609."	780	hort	in-processing	adjusted	ap_star
113	"Simon Aagaard Enni and Ira Assent. 2018. Using balancing terms to avoid discrimination in classification. In Proceedings of the IEEE International Conference on Data Mining (ICDM’18). IEEE, 947–952."	5	hort	in-processing	regularisation	
114	"Yahya H. Ezzeldin, Shen Yan, Chaoyang He, Emilio Ferrara, and Salman Avestimehr. 2021. FairFed: Enabling group fairness in federated learning. arXiv preprint arXiv:2110.00857 (2021)."	176	hort	in-processing	adjusted	
115	"Alessandro Fabris, Stefano Messina, Gianmaria Silvello, and Gian Antonio Susto. 2022. Algorithmic fairness datasets: The story so far. Data Min. Knowl. Discov. 36, 6 (2022), 2074–2152."	115	hort			
116	"Golnoosh Farnadi, Behrouz Babaki, and Lise Getoor. 2018. Fairness in relational domains. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 108–114."	44	hort	in-processing	constraints	
117	"Elaine Fehrman, Awaz K. Muhammad, Evgeny M. Mirkes, Vincent Egan, and Alexander N. Gorban. 2017. The five factor model of personality and evaluation of drug consumption risk. In Data Science. Springer, 231–242."	140	hort			
118	"Michael Feldman, Sorelle A. Friedler, John Moeller, Carlos Scheidegger, and Suresh Venkatasubramanian. 2015. Certifying and removing disparate impact. In Proceedings of the 21st ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. 259–268."	2323	hort	pre-processing	relabelling	perturbation
119	"Rui Feng, Yang Yang, Yuehan Lyu, Chenhao Tan, Yizhou Sun, and Chunping Wang. 2019. Learning fair representations via an adversarial framework. arXiv preprint arXiv:1904.13341 (2019)."	65	hort	pre-processing	representation	adversarial
120	"Benjamin Fish, Jeremy Kun, and Adám D. Lelkes. 2015. Fair boosting: A case study. In Proceedings of the Workshop on Fairness, Accountability, and Transparency in Machine Learning. Citeseer."	35	hort	post-processing	output	confidence
121	"Benjamin Fish, Jeremy Kun, and Ádám D. Lelkes. 2016. A confidence-based approach for balancing fairness and accuracy. In Proceedings of the SIAM International Conference on Data Mining. SIAM, 144–152"	279	hort	post-processing	output	confidence
122	"Hortense Fong, Vineet Kumar, Anay Mehrotra, and Nisheeth K. Vishnoi. 2021. Fairness for AUC via Feature Augmentation. arXiv preprint arXiv:2111.12823 (2021)."	14	hort	pre-processing	representation	addition_features
123	"Sorelle A. Friedler, Carlos Scheidegger, Suresh Venkatasubramanian, Sonam Choudhary, Evan P. Hamilton, and Derek Roth. 2019. A comparative study of fairness-enhancing interventions in machine learning. In Proceedings of the Conference on Fairness, Accountability, and Transparency. ACM, 329–338."	812	hort			
124	"Kazuto Fukuchi, Toshihiro Kamishima, and Jun Sakuma. 2015. Prediction with model-based neutrality. IEICE Trans. Inf. Syst. 98, 8 (2015), 1503–1516."	58	hort	in-processing	constraints	
